full_text,bigrams,trigrams
"['tag', 'wts', 'tiket', 'nonton', 'bareng', 'timnas', 'indonesia', 'irak', 'cgv', 'grand', 'indonesia', 'sabtu', 'minggu', 'cod', 'jakarta', 'jkt']","['tag wts', 'wts tiket', 'tiket nonton', 'nonton bareng', 'bareng timnas', 'timnas indonesia', 'indonesia irak', 'irak cgv', 'cgv grand', 'grand indonesia', 'indonesia sabtu', 'sabtu minggu', 'minggu cod', 'cod jakarta', 'jakarta jkt']","['tag wts tiket', 'wts tiket nonton', 'tiket nonton bareng', 'nonton bareng timnas', 'bareng timnas indonesia', 'timnas indonesia irak', 'indonesia irak cgv', 'irak cgv grand', 'cgv grand indonesia', 'grand indonesia sabtu', 'indonesia sabtu minggu', 'sabtu minggu cod', 'minggu cod jakarta', 'cod jakarta jkt']"
"['peluang', 'timnas', 'indonesia', 'piala', 'dunia', 'netizen', 'menang', 'lawan', 'irak', 'harga', 'mati']","['peluang timnas', 'timnas indonesia', 'indonesia piala', 'piala dunia', 'dunia netizen', 'netizen menang', 'menang lawan', 'lawan irak', 'irak harga', 'harga mati']","['peluang timnas indonesia', 'timnas indonesia piala', 'indonesia piala dunia', 'piala dunia netizen', 'dunia netizen menang', 'netizen menang lawan', 'menang lawan irak', 'lawan irak harga', 'irak harga mati']"
"['entah', 'biarpun', 'timnas', 'indonesia', 'kalah', 'klok', 'sayur', 'blunder', 'pagi', 'gin', 'tetap', 'ngopi', 'merefresh', 'pikir', 'timnasday']","['entah biarpun', 'biarpun timnas', 'timnas indonesia', 'indonesia kalah', 'kalah klok', 'klok sayur', 'sayur blunder', 'blunder pagi', 'pagi gin', 'gin tetap', 'tetap ngopi', 'ngopi merefresh', 'merefresh pikir', 'pikir timnasday']","['entah biarpun timnas', 'biarpun timnas indonesia', 'timnas indonesia kalah', 'indonesia kalah klok', 'kalah klok sayur', 'klok sayur blunder', 'sayur blunder pagi', 'blunder pagi gin', 'pagi gin tetap', 'gin tetap ngopi', 'tetap ngopi merefresh', 'ngopi merefresh pikir', 'merefresh pikir timnasday']"
"['harap', 'menang', 'jepang', 'anggap', 'tidak', 'masuk', 'akal', 'harap', 'menang', 'arab', 'saudi', 'gimana', 'tuh', 'normalisasi', 'kalah', 'ngarep', 'masuk', 'piala', 'dunia', 'isi', 'kepala', 'paling', 'pikir']","['harap menang', 'menang jepang', 'jepang anggap', 'anggap tidak', 'tidak masuk', 'masuk akal', 'akal harap', 'harap menang', 'menang arab', 'arab saudi', 'saudi gimana', 'gimana tuh', 'tuh normalisasi', 'normalisasi kalah', 'kalah ngarep', 'ngarep masuk', 'masuk piala', 'piala dunia', 'dunia isi', 'isi kepala', 'kepala paling', 'paling pikir']","['harap menang jepang', 'menang jepang anggap', 'jepang anggap tidak', 'anggap tidak masuk', 'tidak masuk akal', 'masuk akal harap', 'akal harap menang', 'harap menang arab', 'menang arab saudi', 'arab saudi gimana', 'saudi gimana tuh', 'gimana tuh normalisasi', 'tuh normalisasi kalah', 'normalisasi kalah ngarep', 'kalah ngarep masuk', 'ngarep masuk piala', 'masuk piala dunia', 'piala dunia isi', 'dunia isi kepala', 'isi kepala paling', 'kepala paling pikir']"
"['iya', 'iya', 'tidak', 'ngarep', 'menang', 'jepang', 'tidak', 'ngarep', 'menang', 'arab', 'saudi', 'kalo', 'kalah', 'normalisasi', 'terus', 'ngapain', 'mimpi', 'indo', 'masuk', 'piala', 'dunia']","['iya iya', 'iya tidak', 'tidak ngarep', 'ngarep menang', 'menang jepang', 'jepang tidak', 'tidak ngarep', 'ngarep menang', 'menang arab', 'arab saudi', 'saudi kalo', 'kalo kalah', 'kalah normalisasi', 'normalisasi terus', 'terus ngapain', 'ngapain mimpi', 'mimpi indo', 'indo masuk', 'masuk piala', 'piala dunia']","['iya iya tidak', 'iya tidak ngarep', 'tidak ngarep menang', 'ngarep menang jepang', 'menang jepang tidak', 'jepang tidak ngarep', 'tidak ngarep menang', 'ngarep menang arab', 'menang arab saudi', 'arab saudi kalo', 'saudi kalo kalah', 'kalo kalah normalisasi', 'kalah normalisasi terus', 'normalisasi terus ngapain', 'terus ngapain mimpi', 'ngapain mimpi indo', 'mimpi indo masuk', 'indo masuk piala', 'masuk piala dunia']"
"['meski', 'ramai', 'timnasday', 'pssi', 'klok', 'dara', 'cah', 'ayu', 'lihat', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'jadi', 'harap', 'presiden', 'langkah', 'strategis', 'tuju', 'indonesia', 'emas', 'lalu', 'anakanak', 'indonesia', 'lebih', 'sehat', 'cerdas']","['meski ramai', 'ramai timnasday', 'timnasday pssi', 'pssi klok', 'klok dara', 'dara cah', 'cah ayu', 'ayu lihat', 'lihat program', 'program makan', 'makan gizi', 'gizi gratis', 'gratis mbg', 'mbg jadi', 'jadi harap', 'harap presiden', 'presiden langkah', 'langkah strategis', 'strategis tuju', 'tuju indonesia', 'indonesia emas', 'emas lalu', 'lalu anakanak', 'anakanak indonesia', 'indonesia lebih', 'lebih sehat', 'sehat cerdas']","['meski ramai timnasday', 'ramai timnasday pssi', 'timnasday pssi klok', 'pssi klok dara', 'klok dara cah', 'dara cah ayu', 'cah ayu lihat', 'ayu lihat program', 'lihat program makan', 'program makan gizi', 'makan gizi gratis', 'gizi gratis mbg', 'gratis mbg jadi', 'mbg jadi harap', 'jadi harap presiden', 'harap presiden langkah', 'presiden langkah strategis', 'langkah strategis tuju', 'strategis tuju indonesia', 'tuju indonesia emas', 'indonesia emas lalu', 'emas lalu anakanak', 'lalu anakanak indonesia', 'anakanak indonesia lebih', 'indonesia lebih sehat', 'lebih sehat cerdas']"
"['waktu', 'arab', 'kalah', 'indonesia', 'memang', 'main', 'nya', 'bapuk', 'tidak', 'usah', 'dewa', 'timnas', 'tim', 'asean']","['waktu arab', 'arab kalah', 'kalah indonesia', 'indonesia memang', 'memang main', 'main nya', 'nya bapuk', 'bapuk tidak', 'tidak usah', 'usah dewa', 'dewa timnas', 'timnas tim', 'tim asean']","['waktu arab kalah', 'arab kalah indonesia', 'kalah indonesia memang', 'indonesia memang main', 'memang main nya', 'main nya bapuk', 'nya bapuk tidak', 'bapuk tidak usah', 'tidak usah dewa', 'usah dewa timnas', 'dewa timnas tim', 'timnas tim asean']"
"['tumbang', 'arab', 'saudi', 'ole', 'romeny', 'tegas', 'timnas', 'indonesia', 'siap', 'bangkit', 'lawan', 'irak']","['tumbang arab', 'arab saudi', 'saudi ole', 'ole romeny', 'romeny tegas', 'tegas timnas', 'timnas indonesia', 'indonesia siap', 'siap bangkit', 'bangkit lawan', 'lawan irak']","['tumbang arab saudi', 'arab saudi ole', 'saudi ole romeny', 'ole romeny tegas', 'romeny tegas timnas', 'tegas timnas indonesia', 'timnas indonesia siap', 'indonesia siap bangkit', 'siap bangkit lawan', 'bangkit lawan irak']"
"['live', 'rcti', 'malam', 'hari', 'jadwal', 'siar', 'langsung', 'timnas', 'indonesia', 'irak', 'kualifikasi', 'piala', 'dunia', 'laga', 'hidup', 'mati']","['live rcti', 'rcti malam', 'malam hari', 'hari jadwal', 'jadwal siar', 'siar langsung', 'langsung timnas', 'timnas indonesia', 'indonesia irak', 'irak kualifikasi', 'kualifikasi piala', 'piala dunia', 'dunia laga', 'laga hidup', 'hidup mati']","['live rcti malam', 'rcti malam hari', 'malam hari jadwal', 'hari jadwal siar', 'jadwal siar langsung', 'siar langsung timnas', 'langsung timnas indonesia', 'timnas indonesia irak', 'indonesia irak kualifikasi', 'irak kualifikasi piala', 'kualifikasi piala dunia', 'piala dunia laga', 'dunia laga hidup', 'laga hidup mati']"
"['jadwal', 'siar', 'langsung', 'timnas', 'indonesia', 'india', 'jelang', 'sea', 'games', 'malam', 'jens', 'raven', 'siap', 'gila']","['jadwal siar', 'siar langsung', 'langsung timnas', 'timnas indonesia', 'indonesia india', 'india jelang', 'jelang sea', 'sea games', 'games malam', 'malam jens', 'jens raven', 'raven siap', 'siap gila']","['jadwal siar langsung', 'siar langsung timnas', 'langsung timnas indonesia', 'timnas indonesia india', 'indonesia india jelang', 'india jelang sea', 'jelang sea games', 'sea games malam', 'games malam jens', 'malam jens raven', 'jens raven siap', 'raven siap gila']"
