full_text,bigrams
"['jadwal', 'siar', 'langsung', 'timnas', 'indonesia', 'india', 'jelang', 'sea', 'games', 'malam', 'jens', 'raven', 'siap', 'gila']","['jadwal siar', 'siar langsung', 'langsung timnas', 'timnas indonesia', 'indonesia india', 'india jelang', 'jelang sea', 'sea games', 'games malam', 'malam jens', 'jens raven', 'raven siap', 'siap gila']"
"['bung', 'jose', 'mourinho', 'layak', 'ganti', 'posisi', 'latih', 'timnas', 'indonesia', 'patrick', 'kluivert', 'gagal', 'lolos', 'indonesia', 'piala', 'dunia', 'cukup', 'kalah', 'kalah', 'beri', 'patrick', 'kluivert']","['bung jose', 'jose mourinho', 'mourinho layak', 'layak ganti', 'ganti posisi', 'posisi latih', 'latih timnas', 'timnas indonesia', 'indonesia patrick', 'patrick kluivert', 'kluivert gagal', 'gagal lolos', 'lolos indonesia', 'indonesia piala', 'piala dunia', 'dunia cukup', 'cukup kalah', 'kalah kalah', 'kalah beri', 'beri patrick', 'patrick kluivert']"
"['skema', 'timnas', 'langsung', 'lolos', 'pildun', 'indonesia', 'iraq', 'lebih', 'gol', 'lebih', 'bagus', 'iraq', 'arab', 'saudi', 'grup', 'indonesia', 'poin', 'arab', 'saudi', 'poin', 'iraq', 'poin', 'dah', 'gamau', 'tau', 'patrick', 'menang', 'lawan', 'iraq', 'gol', 'lebih']","['skema timnas', 'timnas langsung', 'langsung lolos', 'lolos pildun', 'pildun indonesia', 'indonesia iraq', 'iraq lebih', 'lebih gol', 'gol lebih', 'lebih bagus', 'bagus iraq', 'iraq arab', 'arab saudi', 'saudi grup', 'grup indonesia', 'indonesia poin', 'poin arab', 'arab saudi', 'saudi poin', 'poin iraq', 'iraq poin', 'poin dah', 'dah gamau', 'gamau tau', 'tau patrick', 'patrick menang', 'menang lawan', 'lawan iraq', 'iraq gol', 'gol lebih']"
"['giat', 'fasilitas', 'nonton', 'bareng', 'sepak', 'bola', 'timnas', 'indonesia', 'lawan', 'arab', 'saudi', 'laga', 'pertama', 'grup', 'babak', 'empat', 'kualifikasi', 'piala', 'dunia', 'zona', 'asia', 'dinkominfopbg', 'dinkominfopurbalingga', 'purbalinggamedia']","['giat fasilitas', 'fasilitas nonton', 'nonton bareng', 'bareng sepak', 'sepak bola', 'bola timnas', 'timnas indonesia', 'indonesia lawan', 'lawan arab', 'arab saudi', 'saudi laga', 'laga pertama', 'pertama grup', 'grup babak', 'babak empat', 'empat kualifikasi', 'kualifikasi piala', 'piala dunia', 'dunia zona', 'zona asia', 'asia dinkominfopbg', 'dinkominfopbg dinkominfopurbalingga', 'dinkominfopurbalingga purbalinggamedia']"
"['patrick', 'kluivert', 'jangan', 'tunduk', 'kepala', 'timnas', 'indonesia']","['patrick kluivert', 'kluivert jangan', 'jangan tunduk', 'tunduk kepala', 'kepala timnas', 'timnas indonesia']"
"['cdm', 'bayu', 'priawan', 'yakin', 'timnas', 'indonesia', 'asuh', 'indra', 'sjafri', 'sanggup', 'tahan', 'emas', 'sea', 'games']","['cdm bayu', 'bayu priawan', 'priawan yakin', 'yakin timnas', 'timnas indonesia', 'indonesia asuh', 'asuh indra', 'indra sjafri', 'sjafri sanggup', 'sanggup tahan', 'tahan emas', 'emas sea', 'sea games']"
"['paling', 'tangan', 'sty', 'timnas', 'indonesia', 'lihat', 'lebih', 'sehat']","['paling tangan', 'tangan sty', 'sty timnas', 'timnas indonesia', 'indonesia lihat', 'lihat lebih', 'lebih sehat']"
"['kalian', 'mencaricari', 'alas', 'penting', 'mana', 'tanding', 'main', 'penting', 'apa', 'tampil', 'main', 'timnas', 'indonesia', 'sekali', 'laku', 'apaapa', 'tanding', 'bahkan', 'golgolnya', 'penalti']","['kalian mencaricari', 'mencaricari alas', 'alas penting', 'penting mana', 'mana tanding', 'tanding main', 'main penting', 'penting apa', 'apa tampil', 'tampil main', 'main timnas', 'timnas indonesia', 'indonesia sekali', 'sekali laku', 'laku apaapa', 'apaapa tanding', 'tanding bahkan', 'bahkan golgolnya', 'golgolnya penalti']"
"['shin', 'taeyong', 'jadi', 'satusatunya', 'latih', 'timnas', 'indonesia', 'pernah', 'kalah', 'kualifikasi', 'piala', 'dunia', 'lawan', 'arab', 'saudi', 'arab', 'saudi', 'indonesia', 'indonesia', 'arab', 'saudi', 'sty', 'latih', 'timnas', 'patrickkluivert', 'lengkap']","['shin taeyong', 'taeyong jadi', 'jadi satusatunya', 'satusatunya latih', 'latih timnas', 'timnas indonesia', 'indonesia pernah', 'pernah kalah', 'kalah kualifikasi', 'kualifikasi piala', 'piala dunia', 'dunia lawan', 'lawan arab', 'arab saudi', 'saudi arab', 'arab saudi', 'saudi indonesia', 'indonesia indonesia', 'indonesia arab', 'arab saudi', 'saudi sty', 'sty latih', 'latih timnas', 'timnas patrickkluivert', 'patrickkluivert lengkap']"
"['kalah', 'bukan', 'akhir', 'justru', 'awal', 'evaluasi', 'jadi', 'lebih', 'baik', 'tetap', 'dukung', 'penuh', 'timnas', 'indonesia']","['kalah bukan', 'bukan akhir', 'akhir justru', 'justru awal', 'awal evaluasi', 'evaluasi jadi', 'jadi lebih', 'lebih baik', 'baik tetap', 'tetap dukung', 'dukung penuh', 'penuh timnas', 'timnas indonesia']"
