"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1976247291666366791","Thu Oct 09 11:24:05 +0000 2025","0","Kekalahan 3:2 dari arab murni kesalahan pelatih timnas Indonesia Petrik susunan pemain di set 1 sudah jelas kesalahan pelatih","1976247291666366791","","","in","","0","0","0","https://x.com/undefined/status/1976247291666366791","2279569357",
"1976247265150026192","Thu Oct 09 11:23:59 +0000 2025","0","Jodohnya emang timnas indonesia. Balikin dah cepet @erickthohir","1976247265150026192","","","in","","0","0","0","https://x.com/undefined/status/1976247265150026192","341931477",
"1976247098195476531","Thu Oct 09 11:23:19 +0000 2025","0","Momen Haru Pemain Timnas Indonesia Berikan Jersey untuk Suporter di King Abdullah Stadium! https://t.co/HiXI7RmVlD","1976247098195476531","","","in","","0","0","0","https://x.com/undefined/status/1976247098195476531","1486284086",
"1976247096907886854","Thu Oct 09 11:23:19 +0000 2025","2","Momen Haru Pemain Timnas Indonesia Berikan Jersey untuk Suporter di King Abdullah Stadium! https://t.co/Zom24uhDgg","1976247096907886854","","","in","","0","0","0","https://x.com/undefined/status/1976247096907886854","85537477",
"1976246261931037095","Thu Oct 09 11:20:00 +0000 2025","0","'Pengakuan Dosa' Herve Renard Jelang Lawan Timnas Indonesia: Udah Gagal Capai Target di Arab Saudi! https://t.co/BAuFKdhIS1 https://t.co/mcJhMof0DE","1976246261931037095","https://pbs.twimg.com/media/G2uO7PGbIAAZHUy.jpg","","in","","0","0","0","https://x.com/undefined/status/1976246261931037095","1747464702492626944",
"1976245584341369050","Thu Oct 09 11:17:18 +0000 2025","1","3 Catatan Penting Usai Timnas Indonesia Takluk dari Arab Saudi: Piala Dunia 2026 Cuma Tinggal Mimpi? https://t.co/BCG2IxmueA","1976245584341369050","","","in","","0","0","0","https://x.com/undefined/status/1976245584341369050","85537477",
"1976245506419413168","Thu Oct 09 11:17:00 +0000 2025","0","Timnas Indonesia kalah 2-3 atas Arab Saudi di laga Round 4 Kualifikasi Piala Dunia 2026 Zona Asia. Mampukan anak asuh Patrick Kluivert bangkit &amp; membuktikan mimpi ke Piala Dunia? Simak dialognya dalam #ROSIKompasTV pkl 20.30 WIB LIVE di KompasTV : https://t.co/rUTSoY7Gv2 https://t.co/pLtJ2xqkzp","1976245506419413168","https://pbs.twimg.com/media/G2zrx9UakAABAbZ.jpg","","in","","1","1","0","https://x.com/undefined/status/1976245506419413168","71436318",
"1976245260683776405","Thu Oct 09 11:16:01 +0000 2025","0","Herve Renard menjelaskan bahwa kekalahan mereka di Stadion Utama Gelora Bung Karno Jakarta masih membekas. Menurutnya ini yang jadi motivasi bagi semua pemain untuk bisa mendapatkan hasil maksimal #TimnasGas https://t.co/Z8dNPInLyp","1976245260683776405","","","in","","0","0","0","https://x.com/undefined/status/1976245260683776405","78239324",
"1976222699103060220","Thu Oct 09 11:16:00 +0000 2025","0","@utdfocusid Ga sabar kalo timnas indonesia ga lolos mau liat si kuch jastin ngebela gimana ","1976245255046643748","","utdfocusid","in","","0","6","0","https://x.com/undefined/status/1976245255046643748","1291309966003851265",
"1976245229599821965","Thu Oct 09 11:15:54 +0000 2025","0","Herve Renard menjelaskan bahwa kekalahan mereka di Stadion Utama Gelora Bung Karno Jakarta masih membekas. Menurutnya ini yang jadi motivasi bagi semua pemain untuk bisa mendapatkan hasil maksimal #TimnasGas https://t.co/3OgW1HDQz4","1976245229599821965","","","in","","0","0","0","https://x.com/undefined/status/1976245229599821965","626306017",
"1976244899013067190","Thu Oct 09 11:14:35 +0000 2025","5","Konten Kreator Arab Saudi Takjub dengan Fanatisme Suporter Timnas Indonesia: Ini Gila Bro! https://t.co/y980q12Vp9","1976244899013067190","","","in","","0","1","1","https://x.com/undefined/status/1976244899013067190","85537477",
"1976244231992926479","Thu Oct 09 11:11:56 +0000 2025","0","Skenario Timnas Indonesia Lolos Piala Dunia 2026 usai Kalah dari Arab Saudi https://t.co/7DDcep3FCz","1976244231992926479","","","in","","0","0","0","https://x.com/undefined/status/1976244231992926479","509946051",
"1976243460199076174","Thu Oct 09 11:08:52 +0000 2025","0","Mungkin kalau gagal timnas Indonesia ke piala dunia Salahkan salah satu influencer penyelong sepakbola Belanda ni si botak Pas STY ngelatih dia jelek2an permainan Sty yang ngandelin serangan balik aja","1976243460199076174","","","in","","0","1","0","https://x.com/undefined/status/1976243460199076174","100844032",
"1976243009588236710","Thu Oct 09 11:07:04 +0000 2025","0","Secara matematis Timnas Indonesia masih punya harapan untuk lolos. Kuncinya adalah kemenangan atas Timnas Irak pada laga kedua atau pamungkas Grup B Kualifikasi Piala Dunia 2026 zona Asia #TimnasGas https://t.co/KjzQLZy97S","1976243009588236710","","","in","","0","0","0","https://x.com/undefined/status/1976243009588236710","626306017",
"1976210356075888755","Thu Oct 09 11:07:04 +0000 2025","0","@kembarannever @Matto_D_guy @connor_debohu @idextratime PSSI saja udah lihat dan gak cocok sepakbola usia muda di Indonesia terutama di daerah main dengan pakem 3 bek makanya PSSI datangin PK &amp; Tim termasuk Dirtek dari Belanda.","1976243006740234659","","kembarannever","in","","0","2","0","https://x.com/undefined/status/1976243006740234659","1795757743158239232",
"1976242973395608007","Thu Oct 09 11:06:56 +0000 2025","0","Secara matematis Timnas Indonesia masih punya harapan untuk lolos. Kuncinya adalah kemenangan atas Timnas Irak pada laga kedua atau pamungkas Grup B Kualifikasi Piala Dunia 2026 zona Asia #TimnasGas https://t.co/IJ47nUfVl8","1976242973395608007","","","in","","0","0","0","https://x.com/undefined/status/1976242973395608007","78239324",
"1976210356075888755","Thu Oct 09 11:05:16 +0000 2025","0","@kawkwk @Matto_D_guy @connor_debohu @idextratime Untuk saat ini pakem 4 bek Filanesia yg mudah diterapkan di ekosistem sepakbola usia muda seluruh Indonesia yg dominan digerakan oleh masyarakat ekonomi menengah kebawah. Kalau lu gak senang kenyataan ini mending sekalian saja larang jebolan grassroot Indonesia main di Timnas.","1976242552660705488","","kawkwk","in","","0","3","0","https://x.com/undefined/status/1976242552660705488","1795757743158239232",
"1976242052695224371","Thu Oct 09 11:03:16 +0000 2025","0","EKSKLUSIF DARI ARAB SAUDI Tak cuma hadir untuk memberi dukungan langsung kepada Garuda para suporter Timnas Indonesia juga menikmati pengalaman unik mencicipi jajanan khas Arab Saudi di sekitar stadion. #BolacomID #blclpt #blcgoks https://t.co/6HRFiUd6TU","1976242052695224371","https://pbs.twimg.com/ext_tw_video_thumb/1976241917227589633/pu/img/CPMZA2DLbXFplHds.jpg","","in","","0","1","0","https://x.com/undefined/status/1976242052695224371","1486284086",
